segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_position,end_position,mean_position
0,joint4,0.0,0.8036856651306152,0.8036856651306152,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint4,1.0044751167297363,4.818563222885132,3.8140881061553955,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint4,5.019279956817627,10.842822074890137,5.82354211807251,pick,constant,0.0,0.0,0.0,0.0,0.0
3,joint4,11.043519258499146,13.854499101638794,2.8109798431396484,pick_delay,constant,0.0,0.0,0.0,0.0,0.0
4,joint4,14.055221557617188,15.862085819244385,1.8068642616271973,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
5,joint4,16.062829732894897,18.87359595298767,2.8107662200927734,lift,constant,0.0,0.0,0.0,0.0,0.0
6,joint4,19.074421882629395,20.881457328796387,1.8070354461669922,place,constant,0.0,0.0,0.0,0.0,0.0
7,joint4,21.082071781158447,22.889031410217285,1.806959629058838,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
8,joint4,23.089760303497314,25.900123834609985,2.810363531112671,retract,constant,0.0,0.0,0.0,0.0,0.0
9,joint4,26.10079288482666,27.907280206680298,1.8064873218536377,return_home,constant,0.0,0.0,0.0,0.0,0.0
